2025-09-04T18:01:31.676Z - Hello from Demo Server! Process started.
2025-09-04T18:01:31.678Z - Working directory: D:\Repository\mmo-tools\mmo\electron
2025-09-04T18:01:34.681Z - Ping from child process.
2025-09-04T18:01:37.685Z - Ping from child process.
2025-09-04T18:01:40.687Z - Ping from child process.
2025-09-04T18:01:43.691Z - Ping from child process.
2025-09-04T18:01:46.694Z - Ping from child process.
2025-09-04T18:01:49.707Z - Ping from child process.
2025-09-04T18:01:52.709Z - Ping from child process.
2025-09-04T18:01:55.717Z - Ping from child process.
2025-09-04T18:01:58.729Z - Ping from child process.
2025-09-04T18:02:01.733Z - Ping from child process.
2025-09-04T18:02:04.735Z - Ping from child process.
2025-09-04T18:02:07.736Z - Ping from child process.
2025-09-04T18:02:10.746Z - Ping from child process.
2025-09-04T18:02:13.758Z - Ping from child process.
2025-09-04T18:02:16.768Z - Ping from child process.
2025-09-04T18:02:19.772Z - Ping from child process.
2025-09-04T18:02:22.776Z - Ping from child process.
2025-09-04T18:02:25.777Z - Ping from child process.
2025-09-04T18:02:28.793Z - Ping from child process.
2025-09-04T18:02:31.797Z - Ping from child process.
2025-09-04T18:02:34.806Z - Ping from child process.
2025-09-04T18:05:46.096Z - Hello from Demo Server! Process started.
2025-09-04T18:05:46.099Z - Working directory: D:\Repository\mmo-tools\mmo\electron
2025-09-04T18:05:49.114Z - Ping from child process.
2025-09-04T18:05:52.114Z - Ping from child process.
2025-09-04T18:40:15.977Z - Hello from Demo Server! Process started.
2025-09-04T18:40:15.979Z - Working directory: D:\Repository\mmo-tools\mmo\electron
2025-09-04T18:40:18.982Z - Ping from child process.
2025-09-08T05:47:02.153Z - Hello from Demo Server! Process started.
2025-09-08T05:47:02.161Z - Working directory: D:\Repository\mmo-tools\mmo\electron
2025-09-08T05:47:05.166Z - Ping from child process.
2025-09-08T05:47:08.174Z - Ping from child process.
2025-09-08T06:31:43.451Z - Hello from Demo Server! Process started.
2025-09-08T06:31:43.454Z - Working directory: D:\Repository\mmo-tools\mmo\electron
2025-09-08T06:31:46.461Z - Ping from child process.
2025-09-08T06:31:49.475Z - Ping from child process.
2025-09-08T06:31:52.488Z - Ping from child process.
2025-09-08T06:31:55.491Z - Ping from child process.
2025-09-08T06:31:58.494Z - Ping from child process.
2025-09-08T06:32:01.499Z - Ping from child process.
2025-09-08T06:32:04.501Z - Ping from child process.
2025-09-08T06:32:07.515Z - Ping from child process.
2025-09-08T06:32:10.516Z - Ping from child process.
2025-09-08T06:32:13.519Z - Ping from child process.
2025-09-08T06:32:16.527Z - Ping from child process.
2025-09-08T06:32:19.530Z - Ping from child process.
2025-09-08T06:32:22.539Z - Ping from child process.
2025-09-08T06:32:25.544Z - Ping from child process.
2025-09-08T06:32:28.547Z - Ping from child process.
2025-09-08T06:32:31.561Z - Ping from child process.
2025-09-08T06:32:34.573Z - Ping from child process.
2025-09-08T06:32:37.583Z - Ping from child process.
2025-09-08T06:32:40.588Z - Ping from child process.
2025-09-08T06:32:43.595Z - Ping from child process.
2025-09-08T06:32:46.604Z - Ping from child process.
2025-09-08T06:32:49.610Z - Ping from child process.
2025-09-08T06:32:52.623Z - Ping from child process.
2025-09-08T06:32:55.629Z - Ping from child process.
2025-09-08T06:32:58.644Z - Ping from child process.
2025-09-08T06:33:01.654Z - Ping from child process.
2025-09-08T06:33:04.663Z - Ping from child process.
2025-09-08T06:33:07.677Z - Ping from child process.
2025-09-08T06:33:10.679Z - Ping from child process.
2025-09-08T06:33:13.687Z - Ping from child process.
2025-09-08T06:33:16.699Z - Ping from child process.
2025-09-08T06:33:19.700Z - Ping from child process.
2025-09-08T06:33:22.707Z - Ping from child process.
2025-09-08T06:33:25.719Z - Ping from child process.
2025-09-08T06:33:28.719Z - Ping from child process.
2025-09-08T06:33:31.725Z - Ping from child process.
2025-09-08T06:33:34.730Z - Ping from child process.
2025-09-08T06:33:37.745Z - Ping from child process.
2025-09-08T06:33:40.746Z - Ping from child process.
2025-09-08T06:33:43.747Z - Ping from child process.
2025-09-08T06:33:46.754Z - Ping from child process.
2025-09-08T06:33:49.766Z - Ping from child process.
2025-09-08T06:33:52.767Z - Ping from child process.
